pool_id,route_id,successes,unique_successes,mean_gpu_joules
deployable,A00_tiny_direct,15,15,54.713849544018146
deployable,A01_tiny_bm25,0,0,157.68299572667271
deployable,A02_tiny_dense,0,0,150.40910277902464
deployable,A03_tiny_hybrid,0,0,143.1556540192412
deployable,A04_small_direct,0,0,256.97515118523927
deployable,A08_tiny_memory_flat,0,0,148.96074234313164
deployable,A09_tiny_memory_hier,0,0,170.31769594685858
deployable,A10_tiny_memory_graph,0,0,171.48717901858564
deployable,A12_small_hybrid_both,0,0,258.5412013716932
deployable,A13_small_hybrid_verified,0,0,260.850203446524
deployable,M16_tiny_grounded_verified,0,0,201.43513055537113
granite_pair,M17_granite_direct,25,25,57.14426658386651
granite_pair,M18_granite_grounded_verified,53,53,176.67912533882523
peer_pair,M19_peer_direct,28,26,107.41839111382586
peer_pair,M20_peer_grounded_verified,41,39,148.93385735101208
upper_pair,M21_upper_direct,16,16,84.4172020497446
upper_pair,A14_upper_hybrid_verified,51,51,256.1301399259148
offline_reference,M17_granite_direct,25,0,57.14426658386651
offline_reference,M18_granite_grounded_verified,53,0,176.67912533882523
offline_reference,M19_peer_direct,28,4,107.41839111382586
offline_reference,M20_peer_grounded_verified,41,0,148.93385735101208
offline_reference,M21_upper_direct,16,0,84.4172020497446
offline_reference,A14_upper_hybrid_verified,51,5,256.1301399259148
all_retained,A00_tiny_direct,15,1,54.713849544018146
all_retained,A01_tiny_bm25,0,0,157.68299572667271
all_retained,A02_tiny_dense,0,0,150.40910277902464
all_retained,A03_tiny_hybrid,0,0,143.1556540192412
all_retained,A04_small_direct,0,0,256.97515118523927
all_retained,A08_tiny_memory_flat,0,0,148.96074234313164
all_retained,A09_tiny_memory_hier,0,0,170.31769594685858
all_retained,A10_tiny_memory_graph,0,0,171.48717901858564
all_retained,A12_small_hybrid_both,0,0,258.5412013716932
all_retained,A13_small_hybrid_verified,0,0,260.850203446524
all_retained,A14_upper_hybrid_verified,51,5,256.1301399259148
all_retained,M16_tiny_grounded_verified,0,0,201.43513055537113
all_retained,M17_granite_direct,25,0,57.14426658386651
all_retained,M18_granite_grounded_verified,53,0,176.67912533882523
all_retained,M19_peer_direct,28,0,107.41839111382586
all_retained,M20_peer_grounded_verified,41,0,148.93385735101208
all_retained,M21_upper_direct,16,0,84.4172020497446
