route_id,queries,success_rate,mean_gpu_joules,median_seconds,energy_telemetry_coverage,execution_failure_rate
A00_tiny_direct,120,0.125,54.713849544018146,1.4439003899998966,1.0,0.0
A01_tiny_bm25,120,0.0,157.68299572667271,3.4122782984999844,1.0,0.0
A02_tiny_dense,120,0.0,150.40910277902464,3.4692635715000506,1.0,0.0
A03_tiny_hybrid,120,0.0,143.1556540192412,3.472765225000103,1.0,0.0
A04_small_direct,120,0.0,256.97515118523927,4.116828457000054,1.0,0.0
A08_tiny_memory_flat,120,0.0,148.96074234313164,3.4210986934999994,1.0,0.0
A09_tiny_memory_hier,120,0.0,170.31769594685858,3.3935187955000288,1.0,0.0
A10_tiny_memory_graph,120,0.0,171.48717901858564,3.37232544099993,1.0,0.0
A12_small_hybrid_both,120,0.0,258.5412013716932,4.016994658000044,1.0,0.0
A13_small_hybrid_verified,120,0.0,260.850203446524,4.025154700500025,1.0,0.0
A14_upper_hybrid_verified,120,0.425,256.1301399259148,3.7919975415002227,1.0,0.0
M16_tiny_grounded_verified,120,0.0,201.43513055537113,3.662559802000146,1.0,0.0
M17_granite_direct,120,0.20833333333333334,57.14426658386651,0.4508444390000932,1.0,0.0
M18_granite_grounded_verified,120,0.44166666666666665,176.67912533882523,2.64686725249976,1.0,0.0
M19_peer_direct,120,0.23333333333333334,107.41839111382586,1.6684108100000685,1.0,0.0
M20_peer_grounded_verified,120,0.3416666666666667,148.93385735101208,2.3427015510001183,1.0,0.0
M21_upper_direct,120,0.13333333333333333,84.4172020497446,1.2500675830001455,1.0,0.0
